hotel_names,rating,coordinates,description,links,town
ibis Styles Grenoble Centre Gare,8.1,"5.71967996656895,45.1908953719989","L'hôtel ibis Styles Grenoble Centre Gare bénéficie d'un emplacement idéal, à seulement 300 mètres de la gare de Grenoble et 400 mètres du centre-ville historique. ",www.booking.com/hotel/fr/all-seasons-grenoble-centre-gare-grenoble.fr.html?label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4AvGfnYoGwAIB0gIkNTkyMWU0OTktMGQ4NS00M2E0LWI1YmMtOTM3OTVhNTE5MmY02AIF4AIB&sid=1a531b5936d7b08d2a734b6bc50337d4&dest_id=-1430647&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632063473&srpvid=4b576938424f016e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Grenoble
Residhome Grenoble Caserne De Bonne,8.0,"5.72433829307556,45.183469873183","Le Residhome Grenoble Caserne De Bonne est un établissement 4 étoiles situé à Grenoble, à seulement 10 minutes à pied du centre-ville. ",www.booking.com/hotel/fr/residhome-prestige-grenoble-caserne-de-bonne.fr.html?label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4AvGfnYoGwAIB0gIkNTkyMWU0OTktMGQ4NS00M2E0LWI1YmMtOTM3OTVhNTE5MmY02AIF4AIB&sid=1a531b5936d7b08d2a734b6bc50337d4&dest_id=-1430647&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632063473&srpvid=4b576938424f016e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Grenoble
Kyriad Grenoble Centre,7.9,"5.71199476718903,45.1681999440246","Situé à Grenoble, à 200 mètres du stade Lesdiguières, le Kyriad Grenoble Centre vous accueille dans un hôtel 3 étoiles doté d'une réception ouverte 24h/24 et d'une connexion Wi-Fi gratuite. ",www.booking.com/hotel/fr/qualityhotelgrenoble.fr.html?label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4AvGfnYoGwAIB0gIkNTkyMWU0OTktMGQ4NS00M2E0LWI1YmMtOTM3OTVhNTE5MmY02AIF4AIB&sid=1a531b5936d7b08d2a734b6bc50337d4&dest_id=-1430647&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632063473&srpvid=4b576938424f016e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Grenoble
Hôtel Vert,8.1,"-1.50961697101593,48.6147004862904","Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...",www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Mercure Mont Saint Michel,8.2,"-1.51054501533508,48.6142465295929","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...",www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Le Relais Saint Michel,7.8,"-1.51039615273476,48.6175872716489",Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ,www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Les Terrasses Poulard,7.3,"-1.51037871837616,48.6353494256412","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ",www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Hotel Gabriel,8.1,"-1.5107099711895,48.6153814136834","L'Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel et à seulement 25 minutes à pied des remparts de la vieille ville. ",www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
La Mère Poulard,7.3,"-1.51053965091705,48.635085317234","Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. ",www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Hotel De La Digue,7.1,"-1.51091784238815,48.6168815494412","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ",www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
